name,stars,text,timeSince,openStatus,key
Ashley Brown,2.0,it's not the same quality as mr. Gatti's used to be it's more like a Cici's,a year ago,Closed,2000671949
Lance Davis,1.0,Overpriced games and poor service. Told the staff we were going to play games with the kids and when we returned they had thrown away our dinner. They apologized but did nothing to remedy the situation.,2 years ago,Closed,2000671949
Da Preacher,5.0,"It was amazing, game room was amazing!",a year ago,Closed,2000671949
Melanee Southard,5.0,"Wonderful place, very friendly service, super clean restaurant, and great tasting pizza and pasta Alfredo.",3 years ago,Closed,2000671949
J Harsh,1.0,"Wow! That was truly the worst pizza I’ve ever had the misfortune to try eating.
Correction, it’s less pizzas and more of a pizza shaped item of some sort.
My kid eats microwave pizza luchables that are more pizza than that was. …More",3 years ago,Closed,2000671949
Kevin Bast,3.0,Good service. Fair food. Chicken park was too breaded and the spagghetti was meh.,2 years ago,Closed,2000671949
Paul Jackson,3.0,Made wrong pizza. Second pizza to correct was made like it was in a hurry,a year ago,Closed,2000671949
Ryan Foster,5.0,"Best pizza in the world in my humble opinion. I don't care which one you go to or order from, your going to get amazing pizza every single time.",2 years ago,Closed,2000671949
Jarrod Hamilton,5.0,Alec was very nice. He helped us order and gave us fun facts about the restaurant since it was our first time.,3 years ago,Closed,2000671949
Debbie Daley,4.0,"All the food was good, especially when they put out hot pizza. The music was too loud and annoying however.",2 years ago,Closed,2000671949
T K,1.0,Terrible pizza got a pizza to go half margherita half pepporoni. Apparently the margherita pizza doesn't come with any pizza sauce white or red. Dry as heck and flavorless. The middle of it was still doughy and wasn't cooked all the way. …More,2 years ago,Closed,2000671949
T W C,2.0,"Pizza - just ok...
Cal zone - Good, but why was it served with cold pizza sauce ???
Pep Rolls - Good, but again, cold pizza sauce dip ??? …More",3 years ago,Closed,2000671949
Gigi Gupta,5.0,Nice new little arcade area. Good Pizza and Pasta . Beautiful ambience !,3 years ago,Closed,2000671949
Ben Almond,4.0,Great new look for this place with a buffet and gameroom. Lost star because of not enough sauce on pizza.,2 years ago,Closed,2000671949
Cole Gower,5.0,"Great pizza, free arcade for the kids while you wait for your food. Definitely will be going back!",3 years ago,Closed,2000671949
Nhien Nguyen,5.0,"Good pizza, fun place. Enjoy it!",2 years ago,Closed,2000671949
Trailer Commander,3.0,Typical chain fast food pizza.  Ok.,2 years ago,Closed,2000671949
Sarah Hernalsteen,1.0,"Our pizza and pepperoni bites showed up through Door Dash BURNT. This is the third time we’ve tried Mr. Gatti’s and they SUCK every time! So, I’m done. Hope they get SHUT DOWN.",a year ago,Closed,2000671949
Timothy Foster,5.0,The only thing that would make this better is if it were a buffet location.,3 years ago,Closed,2000671949
Shanna hofmans,1.0,Horrible food.  Ordered through doordash for delivery and the chicken parmesan was completely burnt to the point it was black.  The garlic bread was burnt as well.  Don't waste your time or money here.,2 years ago,Closed,2000671949
markjlin,5.0,Gluten free crust is the best I have had. Great food and service.,3 years ago,Closed,2000671949
Laura Robles,5.0,I wish my son would have his birthday here at this Mr. Gatti's location in the future.,2 years ago,Closed,2000671949
