name,stars,text,timeSince,openStatus,key
Kim Hanson,4.0,Always a hit. When looking for a quick hit with good pizza at a great price.,11 months ago,Open,209
Jeffrey Weng,5.0,"I love toppings on my pizza and blaze allows you to put as much and whatever toppings you want on your pizza. Unlike traditional pizza stores such as Dominos or Pizza Hut that might put like 10 pieces of chicken on your pizza, at Blaze you …More",a year ago,Open,209
eric watson,4.0,"Build your own pizza,kinda cool.fresh topping and clean dinning room table's.",a year ago,Open,209
Angelina Garcia,5.0,"Fresh ingredients, fast service, pizzas we're delicious!!",a year ago,Open,209
Mary Sepulveda,5.0,"Yummy,  homemade thin pizza. Friendly Services. Fruit drink, pop sodas,  beer, wine, cookies. Welcome children,  accept Disabled wheelchair",a year ago,Open,209
Mialex,5.0,Got free pizza and drinks. Good staff.,11 months ago,Open,209
Willie. Sonny Palacios,5.0,Long wait times,a week ago,Open,209
Theresa Condito,5.0,KETO CRUST!!! PRAISE CHEEBUS! THE KETO GODS HAVE SMILED DOWN UPON US AND SHOWN GREAT MERCY AND BENEVOLENCE!,a year ago,Open,209
J Aranda,4.0,Pizzas just sitting there.. pizza cutter left to the back to get someone arugula that they didnt put on the assembly line. While the pizzas just sat on the table. Had 1 of 2 pizzas so couldn't leave and the 2nd pizza sat there getting cold. Poor team work,a year ago,Open,209
Robert Davenport,5.0,Love Blaze and sad they left Oregon. We usually visit one when seeing family in California. It's still great. Come back to Oregon please!,a year ago,Open,209
Dr. Nima Norouzzadeh,4.0,They are very fast and efficient in what they are doing. Regarding the taste each individual is different. I liked their pizza anyway.,a year ago,Open,209
Monica Altez,5.0,Delicious food,2 months ago,Open,209
Duncan Crowley,5.0,"If you've been to Blaze Pizza before, you probably know the drill and don't need this review. If you haven't experienced Blaze Pizza yet, you are in for an exceptional and unique Chipotle-style pizza like you have (probably) never had …More",a year ago,Open,209
Juan E.,4.0,Create your own pizza for less than 10 bucks with unlimited toppings! Not a bad deal. And they have beer. Good location because it's in Pasadena! 👍,2 years ago,Open,209
